Rank,Suit,Value
7,Hearts,7
King,Clubs,13
2,Spades,2
10,Diamonds,10
4,Clubs,4
Ace,Hearts,1
9,Spades,9
Queen,Diamonds,12
5,Hearts,5
3,Clubs,3
Jack,Spades,11
8,Diamonds,8
6,Clubs,6
King,Hearts,13
2,Diamonds,2
10,Spades,10
4,Hearts,4
Ace,Clubs,1
9,Diamonds,9
Queen,Spades,12
5,Clubs,5
3,Hearts,3
Jack,Diamonds,11
8,Spades,8
6,Hearts,6
King,Diamonds,13
2,Clubs,2
10,Hearts,10
4,Spades,4
Ace,Diamonds,1
9,Clubs,9
Queen,Hearts,12
5,Diamonds,5
3,Spades,3
Jack,Clubs,11
8,Hearts,8
6,Diamonds,6
King,Spades,13
2,Hearts,2
10,Clubs,10
4,Diamonds,4
Ace,Spades,1
9,Hearts,9
Queen,Clubs,12
5,Spades,5
3,Diamonds,3
Jack,Hearts,11
8,Clubs,8
6,Spades,6
7,Diamonds,7
7,Clubs,7
7,Spades,7
